시군코드,시군명,사업장명,소재지지번주소,소재지도로명주소,인허가일자,영업상태명,소재지우편번호,약국영업면적,인허가구분명,지정일자,WGS84경도,WGS84위도
41410,군포시,한림약국,경기도 군포시 당동 745-5 한림오피스텔 101호,"경기도 군포시 군포로 545, 101호 (당동, 한림오피스텔 )",20031215,운영중,435010,26.65,약국,20031215,126.94633650362464,37.35467065621368
41410,군포시,서울약국,경기도 군포시 산본동  1123-2 인베스텔 403호,"경기도 군포시 산본천로 62, 403호 (산본동, 인베스텔)",20031223,운영중,435040,49.77,약국,20031223,126.93059242256423,37.36044706415459
41410,군포시,산본우리약국,경기도 군포시 산본동 1151번지 5호 한양수리아파트 상가동 209-1호,"경기도 군포시 수리산로 8, 2층 209-1호 (산본동, 한양수리아파트 상가동)",20040217,운영중,435854,26.42,약국,20040217,126.92245719715936,37.35932473698843
41410,군포시,메디팜동양약국,경기도 군포시 당동 871-4 용호프라자 105.106호,"경기도 군포시 고산로 251, 105,106호 (당동, 용호프라자)",20040303,운영중,435010,69.11,약국,20040303,126.94405397531517,37.34591159794511
41410,군포시,우리들약국,경기도 군포시 산본동 1066-2 대현프라자 104호,"경기도 군포시 고산로677번길 40, 104호 (산본동, 대현프라자)",20040412,운영중,435040,33.77,약국,20040412,126.93056747998948,37.37281633897695
41410,군포시,삼정약국,경기도 군포시 산본동 1133 삼정빌딩 105호(435-805),"경기도 군포시 산본로323번길 16-36, 105호 (산본동, 삼정빌딩)",20040413,운영중,435040,68.15,약국,20040413,126.93146394967086,37.36034305316829
41410,군포시,봄빛온누리약국,경기도 군포시 산본동 99번지 49호,"경기도 군포시 금산로 106, 1층 (산본동)",20040706,운영중,435839,39.25,약국,20040706,126.93651613690008,37.37142849815625
41410,군포시,엘지온누리약국,경기도 군포시 당정동 48-5 럭키빌딩101호,"경기도 군포시 고산로151번길 25, 101호 (당정동, 럭키빌딩)",20040731,운영중,435030,63.07,약국,20040731,,
41410,군포시,누가약국,경기도 군포시 금정동 760(1층),"경기도 군포시 당산로135번길 3, 1층 (금정동)",20040913,운영중,435050,50.25,약국,20040913,126.94429401340825,37.36318622459231
41410,군포시,산본온누리약국,경기도 군포시 산본동 238-7(1층,"경기도 군포시 산본천로 210, 1층 (산본동)",20040915,운영중,435040,74.29,약국,20040915,126.9409466724908,37.37081088758746
